Entity,Code,Mismanaged_plastic_waste_per_capita_kgperyear,Mismanaged_plastic_waste_to_ocean_per_capita_kgperyear
Albania,ALB,24.23915307,0.543214162
Algeria,DZA,17.75899473,0.134113767
Angola,AGO,7.445278869,0.027022781
Antigua and Barbuda,ATG,6.463917526,0.020618557
Argentina,ARG,10.40191152,0.09238293
Australia,AUS,0.20894338,0.00126969
Bahamas,BHS,5.686375321,0.051413882
Bahrain,BHR,0.635588056,0
Bangladesh,BGD,6.268108387,0.151122996
Barbados,BRB,3.038327526,0.156794425
Belgium,BEL,0.19793743,0.002946529
Belize,BLZ,15.43846154,0.958974359
Benin,BEN,11.29861876,0.138886535
Bosnia and Herzegovina,BIH,16.82853681,0.001817631
Brazil,BRA,15.62046908,0.179099739
Brunei,BRN,1.598152425,0.309468822
Bulgaria,BGR,0.445285714,0.001
Burkina Faso,BFA,15.61429064,0
Cambodia,KHM,15.01152423,0.067507733
Cameroon,CMR,22.36814036,0.412389859
Canada,CAN,0.630483013,0.006361765
Cape Verde,CPV,6.487272727,0
Chile,CHL,1.623417054,0.016990291
China,CHN,8.559308412,0.049314957
Colombia,COL,1.697570472,0.00856195
Comoros,COM,69.51586369,0
Congo,COG,12.13361829,0.125627207
Costa Rica,CRI,1.139263074,0.089144216
Cote d'Ivoire,CIV,11.33934751,0.186024808
Croatia,HRV,4.247941889,0.054237288
Cyprus,CYP,0.698081735,0.002502085
Democratic Republic of Congo,COD,15.78193592,0.004839211
Denmark,DNK,0.067567568,0.001559252
Djibouti,DJI,10.56365503,0.004106776
Dominica,DMA,15.02777778,0.736111111
Dominican Republic,DOM,18.06667287,0.584411956
Ecuador,ECU,6.262058248,0.065385058
Egypt,EGY,14.29961748,0.024614496
El Salvador,SLV,3.361171367,0.125193678
Eq. Guinea,GNQ,6.934365782,0.298672566
Eritrea,ERI,24.0457535,0.013726051
Estonia,EST,0.452488688,0.009049774
Fiji,FJI,4.334831461,0.41011236
Finland,FIN,0.473788865,0
France,FRA,0.426531552,0.003608168
French Guiana,GUF,0.432989691,0.024054983
Gabon,GAB,2.757017948,0.20478601
Gambia,GMB,14.9467632,0.179301533
Georgia,GEO,0.076807606,0.000750563
Germany,DEU,0.606774669,0.001604464
Ghana,GHA,17.09520679,0.13758301
Greece,GRC,0.430249212,0.020624463
Grenada,GRD,12.11607143,1.160714286
Guadeloupe,GLP,0.405,0.01
Guatemala,GTM,17.68972186,0.406234003
Guinea,GIN,11.58852087,0.183775742
Guinea-Bissau,GNB,10.65330557,0.128578865
