country_name,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year
Aruba,0,0,0,0,0,0
Afghanistan,6802511,0,20000,0,0,9855
Angola,0,0,92000,0,0,5495.95
Albania,0,203009,20000,5714.82,270269,114.3
Andorra,0,0,0,1788,0,0
United Arab Emirates,493106,2876313,134000,57525,3306644,4573
Argentina,0,0,291700,310044,0,0
Armenia,1570,7820,14000,62270,47310540,0
American Samoa,0,0,0,0,0,0
Antigua and Barbuda,0,0,1100,0,0,0
Australia,0,20000000,574000,7000000,31000000,0
Austria,1887723,42423893,166174,1272288,0,696748
Azerbaijan,0,0,63000,296979.4,0,0
Burundi,0,0,5000,0,0,0
Belgium,5635143,35824399,603575,2946195,0,2397368
Benin,0,0,8200,0,0,1698
Burkina Faso,0,0,11000,7871,0,0
Bangladesh,65000000,0,142000,114358,26884,12271
Bulgaria,983646,172369117,53785,12206169,0,518228
Bahrain,0,570099.67,20000,31000,140000,911000
"Bahamas, The",0,0,4900,0,0,0
Bosnia and Herzegovina,0,252310,1409,8408,4048650,8150
Belarus,0,0,72000,1336926,0,0
Belize,0,0,2300,0,0,188
Bermuda,0,0,0,525,0,0
Bolivia,0,0,35392,545183,0,4683
Brazil,0,45158165,1411900,0,0,260063
Barbados,0,184957,3800,9410.337,0,0
Brunei Darussalam,0,0,7700,0,0,195
Bhutan,0,0,1457.5,0,1476.37,358
Botswana,0,0,16000,0,0,2500
Central African Republic,0,0,2700,0,0,0
Canada,181000000,653255,724000,0,1118000000,0
Switzerland,0,6390000,184000,1200000,1470000,0
Channel Islands,0,0,0,0,0,0
Chile,0,0,176000,249755,0,0
China,4000000000,1500000000,7211000,34652400,3270790000,0
Côte d’Ivoire,0,0,22000,0,0,0
Cameroon,0,0,19000,8716.6,0,0
Colombia,0,0,252200,270146.3,0,27704
Comoros,0,0,600,0,0,0
Cabo Verde,0,0,2400,3548.92,0,76
Costa Rica,0,800000,35800,0,0,0
Cuba,0,0,0,565216,0,0
Curacao,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0
Cyprus,112018,1377767,18137,173377,0,21404
Czech Republic,583264,13379041,79581,1162342,0,797432
Germany,15011037,275413069,2465085,21812660,0,8821344
Djibouti,0,0,900,0,0,0
Dominica,0,0,0,627,0,0
Denmark,1087281,11402900,168614,1718394,0,317413
Dem. Rep. Congo,0,0,57000,0,0,0
Algeria,0,11000000,252000,330000,2547000,30000
Ecuador,0,0,73000,193812,0,11292
Egypt,30000000,4000000,497000,380000,6000000,28300
Eritrea,0,0,3800,0,0,0
Spain,8058640,52155411,1202597,2984518,0,2990346
Estonia,149633,18094986,34312,10410321,0,1750157
Ethiopia,0,0,49000,0,0,0
Finland,1079091,84662998,212954,1998693,0,1006713
Fiji,0,0,4600,0,0,316.16
France,11304163,236301207,2218682,10783405,0,4867183
Faeroe Islands,0,0,0,0,0,0
Micronesia,0,0,200,0,0,73.47
Gabon,0,0,14000,0,0,0
United Kingdom,10365788,156803699,3584126,5755258,0,4218205
Georgia,0,0,21000,0,0,0
Ghana,0,0,39000,0,0,0
Gibraltar,0,30000,201.44,58995.04,0,0
Guinea,0,0,8000,0,0,0
Gambia,0,0,2200,0,0,0
Guinea-Bissau,0,0,1000,0,0,0
Eq. Guinea,0,0,0,0,0,0
Greece,575225,59985396,188460,221041,0,251623
Grenada,0,0,800,0,0,0
Greenland,0,0,0,730,0,0
Guatemala,0,0,55000,10051,0,818.6
Guam,0,0,0,0,0,0
Guyana,0,0,5000,741.78,0,0
