Country,Total_MismanagedPlasticWaste_2010_millionT,Total_MismanagedPlasticWaste_2019_millionT,Entity,Mismanaged_plastic_waste_metric_tons_year,Year,Global_plastics_production_million_tonnes,country_name,total_msw_total_msw_generated_tons_year,population_population_number_of_people,basic_waste_types,total_value,time,start_date,end_date,population_total,,gdp_per_capita_usd_current,,,quantity
Albania,29705,69833,Africa,13690104,1950,2000000,Aruba,88132.0167,103187,Organic Food,7345,11,may,june,1440297825,,19742.31674,,,0.5
Algeria,520555,764578,Albania,69833,1951,2000000,Afghanistan,5628525.37,34656032,Glass,813,9,,,1382345085,,696.3975587,,,0.2
Angola,62528,236946,Algeria,764578,1952,2000000,Angola,4213643.585,25096150,Metal,727,8,,,331341050,,580.879,,,1
Anguilla,52,0,Angola,236946,1953,3000000,Albania,1087446.75,2854191,Other,3223,7,,,274021604,,509.2584021,,,0.6
Antigua and Barbuda,1253,627,Antigua and Barbuda,627,1954,3000000,Andorra,43000,82431,Paper Cardboard,2688,,,,221612785,,423.3934528,,,0.4
Argentina,157777,465808,Argentina,465808,1955,4000000,United Arab Emirates,5617682,9770529,Plastic,2045,,,,212821986,,813.7893966,,,0.3
Aruba,372,0,Australia,5266,1956,5000000,Argentina,17910550,42981516,Rubber Leather,141,,,,206984347,,18591.91234,,,0.9
Australia,13889,5266,Bahamas,2212,1957,5000000,Armenia,492800,2906220,Wood,305,,,,164972348,,2348.94244,,,0.22
Bahamas,1333,2212,Bahrain,1043,1958,6000000,American Samoa,18989.49,55599,Yard Garden,434,,,,145945524,,25905.84338,,,0.45
Bahrain,4376,1043,Bangladesh,1021990,1959,7000000,Antigua and Barbuda,30585,96777,,1200,,,,129166028,,8250.673174,,,0.65
Bangladesh,787327,1021990,Barbados,872,1960,8000000,Australia,13345000,23789338,,1100,,,,126407422,,584.3842673,,,0.21
Barbados,3483,872,Belgium,2284,1961,9000000,Austria,5219715.5,8877067,,650,,,,115434444,,600.321,,,0.76
Belgium,2743,2284,Belize,6021,1962,11000000,Azerbaijan,2930349,9649341,,100,,,,109830324,,10029.47775,,,0.54
Belize,3892,6021,Benin,133335,1963,13000000,Burundi,1872016,6741569,,150,,,,102659126,,21478.38516,,,0.72
Benin,43015,133335,Bosnia and Herzegovina,55551,1964,15000000,Belgium,4765883,11484055,,200,,,,97490013,,27361.87511,,,0.32
Bermuda,123,0,Brazil,3296700,1965,17000000,Benin,685936.01,5521763,,300,,,,90003954,,561.9068079,,,0.12
Bosnia and Herzegovina,12955,55551,Brunei,692,1966,20000000,Burkina Faso,2575251.11,18110624,,4000,,,,84495243,,148.0895535,,,0.65
Brazil,471404,3296700,Bulgaria,3117,1967,23000000,Bangladesh,14778497.33,155727056,,5000,,,,84176929,,25338.44329,,,0.89
British Virgin Islands,55,0,Burkina Faso,317298,1968,27000000,Bulgaria,2859190,7025037,,2143,,,,83830972,,372.8773308,,,0.7
Brunei,93,692,Cambodia,247495,1969,32000000,Bahrain,951942.9695,1425171,,3246,,,,69830779,,250.4139338,,,0.6
Bulgaria,18739,3117,Cameroon,578798,1970,35000000,"Bahamas, The",264000,386838,,,,,,67948282,,401.9651801,,,
Burkina Faso,0,317298,Canada,23587,1971,38000000,Bosnia and Herzegovina,1248718,3535961,,,,,,65298930,,1820.405232,,,
Cambodia,29686,247495,Cape Verde,3568,1972,44000000,Belarus,4280000,9489616,,,,,,60446035,,9195.42561,,,
Cameroon,27713,578798,Chile,30767,1973,51000000,Belize,101378.8303,359288,,,,,,60012400,,21665.38786,,,
Canada,7959,23587,China,12272200,1974,52000000,Bermuda,82000,64798,,,,,,59436725,,1000.398642,,,
Cape Verde,9347,3568,Colombia,85454,1975,46000000,Bolivia,2219052,10724705,,,,,,54473253,,1511.325316,,,
Cayman Islands,95,0,Comoros,59158,1976,54000000,Brazil,79069584,208494896,,,,,,53968739,,4063.901968,,,
Channel Islands,281,0,Congo,65291,1977,59000000,Barbados,174815.4444,280601,,,,,,51276977,,51371.74081,,,
Chile,21754,30767,Costa Rica,5751,1978,64000000,Brunei Darussalam,216253.156,423196,,,,,,50976248,,1025.415636,,,
China,8819717,12272200,Cote d'Ivoire,291614,1979,71000000,Bhutan,111314.05,686958,,,,,,46757980,,5049.766119,,,
Christmas Island,3,0,Croatia,17544,1980,70000000,Botswana,210854.4426,2014866,,,,,,45974931,,10685.26061,,,
Cocos Islands,1,0,Cyprus,837,1981,72000000,Central African Republic,1105983,4515392,,,,,,45267449,,12653.82452,,,
Colombia,92173,85454,Democratic Republic of Congo,1369730,1982,73000000,Canada,25103034,35544564,,,,,,43984569,,652.3509892,,,
Comoros,58032,59158,Denmark,390,1983,80000000,Switzerland,6079556,8574832,,,,,,44019263,,2893.315051,,,
Congo,16766,65291,Djibouti,10289,1984,86000000,Channel Islands,178933,164541,,,,,,43686577,,272.1015286,,,
Cook Islands,416,5751,Dominica,1082,1985,90000000,Chile,6517000,16829442,,,,,,40372771,,21024.58507,,,
Costa Rica,42090,291614,Dominican Republic,194018,1986,96000000,China,395081376,1400050048,,,,,,39074280,,4107.890008,,,
Cote d'Ivoire,194558,17544,EU-27,266588,1987,104000000,Côte d’Ivoire,4440814.27,20401332,,,,,,37839255,,42680.58673,,,
Croatia,16461,0,Ecuador,108797,1988,110000000,Cameroon,3270616.59,21655716,,,,,,37799407,,41227.40326,,,
Cuba,90630,0,Egypt,1435510,1989,114000000,"Congo, Dem. Rep.",14385226.02,78736152,,,,,,36985624,,5467.54118,,,
Curacao,268,0,El Salvador,21693,1990,120000000,"Congo, Rep.",451200,2648507,,,,,,34905942,,828.5804793,,,
Cyprus,1821,837,Equatorial Guinea,9403,1991,124000000,Colombia,12150120,46406648,,,,,,33551824,,1237.131364,,,
Democratic Republic of Congo,15208,1369730,Eritrea,84088,1992,132000000,Comoros,91013,777424,,,,,,33050211,,789.2742585,,,
Denmark,1791,390,Estonia,600,1993,137000000,Cabo Verde,132555,513979,,,,,,33032075,,135.4774002,,,
Djibouti,17324,10289,Europe,1180718,1994,151000000,Costa Rica,1460000,4757575,,,,,,32436963,,663.7287033,,,
Dominica,783,1082,Fiji,3858,1995,156000000,Cuba,2692691.98,11303687,,,,,,31398811,,2594.419825,,,
Dominican Republic,118226,194018,Finland,2621,1996,168000000,Curacao,24703.8132,153822,,,,,,31181428,,717.3181901,,,
Ecuador,109383,108797,France,27780,1997,180000000,Cayman Islands,60000,59172,,,,,,29935468,,1185.58374,,,
Egypt,967012,1435510,French Guiana,126,1998,188000000,Cyprus,769485.125,1198575,,,,,,29225196,,3580.933885,,,
El Salvador,118732,21693,Gabon,5991,1999,202000000,Czech Republic,5334854.5,10669709,,,,,,28421581,,4681.019166,,,
Equatorial Guinea,5977,9403,Gambia,35095,2000,213000000,Germany,50627876,83132800,,,,,,27808395,,2332.508217,,,
Eritrea,16259,84088,Georgia,307,2001,218000000,Djibouti,114997.249,746221,,,,,,26655083,,876.98,,,
Estonia,5979,600,Germany,50676,2002,231000000,Dominica,13176,72400,,,,,,26486282,,5644.09,,,
Faeroe Islands,93,0,Ghana,520002,2003,241000000,Denmark,4910858.5,5818553,,,,,,25798588,,15092.82617,,,
Falkland Islands,5,0,Greece,4506,2004,256000000,Dominican Republic,4063910,10528394,,,,,,25550683,,6489.703619,,,
Fiji,49257,3858,Grenada,1357,2005,263000000,Algeria,12378740,40606052,,,,,,24346468,,27289.05936,,,
Finland,4985,2621,Guadeloupe,162,2006,280000000,Ecuador,5297211.143,16144368,,,,,,23824369,,740.0389531,,,
France,24109,27780,Guatemala,311003,2007,295000000,"Egypt, Arab Rep.",21000000,87813256,,,,,,21428970,,4676.827165,,,
French Guiana,2360,126,Guinea,147997,2008,281000000,Eritrea,726957.37,4474690,,,,,,20997293,,33368.14242,,,
French Polynesia,1286,0,Guinea-Bissau,20465,2009,288000000,Spain,22408548,47076780,,,,,,20346106,,2616.74741,,,
Gabon,6087,5991,Guyana,27565,2010,313000000,Estonia,489511.7188,1326590,,,,,,19214608,,1610.301826,,,
Gambia,19616,35095,Haiti,237968,2011,325000000,Ethiopia,6532786.97,99873032,,,,,,19211425,,804.4432469,,,
Georgia,14472,307,Honduras,145995,2012,338000000,Finland,3124497.75,5520314,,,,,,19144605,,1222.514292,,,
Germany,31239,50676,Hong Kong,5781,2013,352000000,Fiji,189389.594,867086,,,,,,18815231,,3449.913209,,,
Ghana,91571,520002,Iceland,151,2014,367000000,France,36748820,67059888,,,,,,18468257,,1903.760398,,,
Gibraltar,65,0,India,12994100,2015,381000000,Faeroe Islands,61000,48842,,,,,,17971382,,12540.5341,,,
Greece,14229,4506,Indonesia,824234,,,"Micronesia, Fed. Sts.",26039.57,104937,,,,,,17688599,,2293.655828,,,
Greenland,105,0,Iran,495965,,,Gabon,238102.31,1086137,,,,,,17571053,,1239.353562,,,
Grenada,2248,1357,Iraq,491771,,,United Kingdom,30771140,66460344,,,,,,17141544,,22380.01143,,,
Guadeloupe,6564,162,Ireland,2675,,,Georgia,800000,3717100,,,,,,16816539,,320.9666094,,,
Guam,393,0,Israel,6060,,,Ghana,3538274.978,21542008,,,,,,16758448,,15394.35146,,,
Guatemala,91563,311003,Italy,38803,,,Gibraltar,16954,33623,,,,,,16502877,,4093.392477,,,
Guernsey,103,0,Jamaica,49673,,,Guinea,596911,8132552,,,,,,15965848,,123.8305223,,,
Guinea,18514,147997,Japan,35684,,,"Gambia, The",193440.54,1311349,,,,,,14899771,,18615.41089,,,
Guinea-Bissau,20240,20465,Jordan,124425,,,Guinea-Bissau,289514,1770526,,,,,,13191279,,716.605291,,,
Guyana,42002,27565,Kazakhstan,54242,,,Equatorial Guinea,198443.06,1221490,,,,,,13005303,,26009.26949,,,
Haiti,147389,237968,Kenya,289917,,,Greece,5615352.5,10716322,,,,,,12175480,,2031.042392,,,
Honduras,95638,145995,Kiribati,74,,,Grenada,29536.11394,105481,,,,,,11948454,,24971.57449,,,
Hong Kong,28512,5781,Kuwait,2640,,,Greenland,50000,56905,,,,,,11839918,,24623.84234,,,
Iceland,598,151,Latvia,955,,,Guatemala,2756740.971,16252429,,,,,,11700207,,1964.643736,,,
India,599819,12994100,Lebanon,46622,,,Guam,141500,159973,,,,,,11598451,,3705.817932,,,
Indonesia,3216856,824234,Lesotho,30391,,,Guyana,179251.5,746556,,,,,,11426356,,28297.866,,,
Iran,247403,495965,Liberia,39930,,,"Hong Kong SAR, China",5679816.465,7305700,,,,,,11325391,,851.5259582,,,
Iraq,15563,491771,Libya,188535,,,Honduras,2162027.696,9112867,,,,,,11216250,,399.7374075,,,
Ireland,11710,2675,Lithuania,1037,,,Croatia,1810037.5,4067500,,,,,,10866667,,786.98,,,
Israel,19007,6060,Macau,14749,,,Haiti,2309852.455,10847334,,,,,,10712481,,448.9653141,,,
Italy,32761,38803,Madagascar,25250,,,Hungary,3780970.25,9769949,,,,,,10413936,,619.5930395,,,
Jamaica,10019,49673,Malaysia,814454,,,Indonesia,65200000,261115456,,,,,,10220604,,174.3624702,,,
Japan,143121,35684,Maldives,60,,,Isle of Man,50551,80759,,,,,,10191409,,588.6415831,,,
Jordan,1737,124425,Malta,259,,,India,189750000,1352617344,,,,,,10154978,,13472.13761,,,
Kazakhstan,0,54242,Marshall Islands,16,,,Ireland,2910655,4867316,,,,,,10110233,,4198.715561,,,
Kenya,22658,289917,Martinique,139,,,"Iran, Islamic Rep.",17885000,80277424,,,,,,9931333,,20496.66137,,,
Kiribati,3045,74,Mauritania,20796,,,Iraq,13140000,36115648,,,,,,9910892,,1755.849582,,,
Kuwait,11489,2640,Mauritius,299,,,Iceland,225270.4063,343400,,,,,,9655983,,568.98,,,
Latvia,10284,955,Mexico,430614,,,Israel,5400000,8380100,,,,,,9573310,,948.2404227,,,
Lebanon,47815,46622,Micronesia,447,,,Italy,30088400,60297396,,,,,,9448772,,23797.92447,,,
Lesotho,0,30391,Monaco,5,,,Jamaica,1051694.575,2881355,,,,,,9015361,,25808.97095,,,
Liberia,56728,39930,Montenegro,16,,,Jordan,2529997,8413464,,,,,,8975531,,1009.162705,,,
Libya,52779,188535,Morocco,295488,,,Japan,42720000,126529104,,,,,,8731081,,359.2271329,,,
Lithuania,3479,1037,Mozambique,434432,,,Kazakhstan,4659740,16791424,,,,,,8678517,,5677.704886,,,
Macau,698,14749,Myanmar,434432,,,Kenya,5595099,41350152,,,,,,8665615,,461.9721216,,,
Madagascar,34522,25250,Namibia,20892,,,Kyrgyz Republic,1113300,5956900,,,,,,8310934,,4744.212264,,,
Malaysia,936818,814454,Netherlands,15233,,,Cambodia,1089000,15270790,,,,,,8004158,,1415.110162,,,
Maldives,31469,60,New Zealand,1714,,,Kiribati,35723.8275,114395,,,,,,7507523,,1211.416144,,,
Malta,2620,259,Nicaragua,110862,,,St. Kitts and Nevis,32892.14,54288,,,,,,7293542,,448.2921666,,,
Marshall Islands,3187,16,Nigeria,1948950,,,"Korea, Rep.",20452776,51606632,,,,,,7147553,,494.0208019,,,
Martinique,749,139,North America,1927484,,,Kuwait,1750000,2998083,,,,,,6939018,,459.1918631,,,
Mauritania,13854,20796,North Korea,322,,,Lao PDR,351900,6663967,,,,,,6887247,,426.6168204,,,
Mauritius,56051,299,Norway,1494,,,Lebanon,2040000,5603279,,,,,,6819976,,18753.04013,,,
Mexico,101343,430614,Oceania,136506,,,Liberia,564466.7,3512932,,,,,,6638075,,412.509511,,,
Micronesia,4794,447,Oman,1251,,,Libya,2147596.472,6193501,,,,,,6542426,,321.09,,,
Monaco,62,5,Pakistan,1346460,,,St. Lucia,77616.228,177206,,,,,,6491923,,24294.85477,,,
Montenegro,4416,16,Palau,116,,,Liechtenstein,32382,36545,,,,,,6046292,,1737.700033,,,
Montserrat,38,0,Palestine,2129,,,Sri Lanka,2631650,21203000,,,,,,5858322,,894.3290943,,,
Morocco,310126,295488,Panama,36339,,,Lesotho,73457,1965662,,,,,,5795780,,31030.0536,,,
Mozambique,45995,434432,Papua New Guinea,119538,,,Lithuania,1315390.375,2786844,,,,,,5542237,,20106.63075,,,
Myanmar,458269,434432,Peru,140313,,,Luxembourg,490337.75,619896,,,,,,5540555,,22318.1373,,,
Namibia,5480,20892,Philippines,4025300,,,Latvia,839714.375,1912789,,,,,,5460109,,3410.42776,,,
Nauru,554,0,Poland,14124,,,"Macao SAR, China",377942,612167,,,,,,5428594,,1633.280882,,,
Netherlands,27700,15233,Portugal,3818,,,St. Martin (French part),15479.5,30959,,,,,,5128058,,32423.75561,,,
Netherlands Antilles,416,0,Puerto Rico,1293,,,Morocco,6852000,34318080,,,,,,5121112,,1468.669291,,,
New Caledonia,472,0,Qatar,1532,,,Monaco,46000,37783,,,,,,5102158,,483.7086323,,,
New Zealand,9286,1714,Reunion,233,,,Moldova,3981200,3554108,,,,,,5077411,,345.1381316,,,
Nicaragua,84415,110862,Romania,52161,,,Madagascar,3768759.16,24894552,,,,,,4947267,,267.4097962,,,
Nigeria,851493,1948950,Russia,363389,,,Maldives,211505.78,409163,,,,,,4843954,,761.4339614,,,
Niue,4,0,Saint Kitts and Nevis,97,,,Mexico,53100000,125890952,,,,,,4829021,,8665.09906,,,
Norfolk Island,68,0,Saint Lucia,4276,,,Marshall Islands,8614,52793,,,,,,4669775,,8281.699982,,,
North Korea,304328,322,Saint Martin,8,,,"Macedonia, FYR",626970.375,2082958,,,,,,4326296,,14256.29753,,,
Northern Mariana Islands,219,0,Saint Vincent and the Grenadines,1235,,,Mali,1937354.44,16006670,,,,,,4281320,,4413.497574,,,
Norway,8403,1494,Samoa,1738,,,Malta,348841.1875,502653,,,,,,4100719,,243.9864436,,,
Oman,4658,1251,Sao Tome and Principe,2069,,,Myanmar,4677306.529,46095464,,,,,,4032294,,4127.320054,,,
Pakistan,480493,1346460,Saudi Arabia,7176,,,Montenegro,329780.3125,622227,,,,,,3987805,,9765.09,,,
Palau,716,116,Senegal,65660,,,Mongolia,2900000,3027398,,,,,,3554797,,5470.7878,,,
Palestine,5599,2129,Seychelles,33,,,Northern Mariana Islands,32761.4145,54036,,,,,,3475842,,5593.748414,,,
Panama,34388,36339,Sierra Leone,91239,,,Mozambique,2500000,27212382,,,,,,3277152,,4546.503785,,,
Papua New Guinea,89835,119538,Singapore,2468,,,Mauritania,454000,3506288,,,,,,3287242,,292.3729503,,,
Peru,194453,140313,Sint Maarten,3,,,Mauritius,438000,1263473,,,,,,2964219,,259.8156899,,,
Philippines,1883659,4025300,Slovakia,1719,,,Malawi,1297844.48,16577147,,,,,,2963429,,77033.9031,,,
Poland,15703,14124,Slovenia,844,,,Malaysia,12982685,30228016,,,,,,2889284,,850.8116039,,,
Portugal,16402,3818,Solomon Islands,3520,,,Namibia,256729,1559983,,,,,,2877239,,564.9094065,,,
Puerto Rico,16517,1293,Somalia,42,,,New Caledonia,108157.384,278000,,,,,,2846860,,1142.450235,,,
Qatar,758,1532,South Africa,708467,,,Niger,1865645.67,8842415,,,,,,2715340,,467.5866086,,,
Reunion,847,233,South America,4942514,,,Nigeria,27614830.07,154402176,,,,,,2548663,,1666.884854,,,
Romania,3610,52161,South Korea,12156,,,Nicaragua,1528816.293,5737723,,,,,,2427782,,3166.666533,,,
Russia,80759,363389,Spain,20350,,,Netherlands,8805088,17332850,,,,,,2359585,,47445.38108,,,
Saint Helena,96,0,Sri Lanka,155466,,,Norway,4149967.25,5347896,,,,,,2234448,,2973.534843,,,
Saint Kitts and Nevis,715,97,Sudan,781625,,,Nepal,1768977.49,28982772,,,,,,2145194,,16232.45858,,,
Saint Lucia,6709,4276,Suriname,22933,,,Nauru,6191.7505,13049,,,,,,2083359,,13476,,,
Saint Martin,0,8,Sweden,4255,,,New Zealand,3405000,4692700,,,,,,2078989,,1491.139771,,,
Saint Pierre and Miquelon,11,0,Syria,502,,,Oman,1734885.15,3960925,,,,,,1975718,,91108.02705,,,
Saint Vincent and the Grenadines,2245,1235,Taiwan,7502,,,Pakistan,30760000,193203472,,,,,,1882408,,578.7346276,,,
Samoa,5122,1738,Tanzania,1716400,,,Panama,1472262.215,3969249,,,,,,1711057,,288.6359287,,,
Sao Tome and Principe,5081,2069,Thailand,1361690,,,Peru,8356711.13,30973354,,,,,,1410419,,1972.623404,,,
Saudi Arabia,20552,7176,Timor,17244,,,Philippines,14631922.9,103320224,,,,,,1400283,,2805.127371,,,
Senegal,254770,65660,Togo,121783,,,Palau,9426.7455,21503,,,,,,1326693,,5555.737246,,,
Seychelles,4619,33,Tonga,666,,,Papua New Guinea,1000000,7755785,,,,,,1322667,,2111.944173,,,
Sierra Leone,36408,91239,Trinidad and Tobago,73139,,,Poland,12758213,37970872,,,,,,1272140,,1203.832753,,,
Singapore,6472,2468,Tunisia,289538,,,Puerto Rico,4170953,3473181,,,,,,1208886,,1875.817764,,,
Sint Maarten,70,3,Turkey,1656110,,,Portugal,5268211,10269417,,,,,,1162233,,274.9743973,,,
Slovakia,0,1719,Ukraine,393777,,,Paraguay,1818501.365,6639119,,,,,,990447,,10273.45181,,,
Slovenia,556,844,United Arab Emirates,5135,,,West Bank and Gaza,1387000,4046901,,,,,,897573,,103.6268381,,,
Solomon Islands,20394,3520,United Kingdom,29914,,,French Polynesia,147000,273528,,,,,,896422,,1689.957459,,,
Somalia,101531,42,United States,267469,,,Qatar,1000990.016,2109568,,,,,,872695,,8765.98,,,
South Africa,630005,708467,Uruguay,92620,,,Romania,5419832.5,19356544,,,,,,787215,,467.513953,,,
South Korea,33747,12156,Venezuela,671431,,,Russian Federation,60000000,143201680,,,,,,773069,,654.98,,,
Spain,45853,20350,Vietnam,1112790,,,Rwanda,4384969,11917508,,,,,,689671,,311.0451378,,,
Sri Lanka,1591179,155466,Western Sahara,4114,,,Saudi Arabia,16125700.58,31557144,,,,,,650846,,796.8418094,,,
Sudan,22928,781625,yemen,291737,,,Sudan,2831291,38647804,,,,,,628080,,3593.234081,,,
Suriname,3942,22933,Zimbabwe,524865,,,Senegal,2454059.25,15411614,,,,,,627704,,163.1112455,,,
Sweden,2150,4255,,,,,Singapore,1870000,5703600,,,,,,599769,,3308.835653,,,
Syria,157904,502,,,,,Solomon Islands,179971.9644,563513,,,,,,587541,,31691.91778,,,
Taiwan,45718,7502,,,,,Sierra Leone,610222.09,5439695,,,,,,557026,,2231.108017,,,
Tanzania,48586,1716400,,,,,El Salvador,1648996.18,6164626,,,,,,542151,,17324.25283,,,
Thailand,1027739,1361690,,,,,San Marino,17174.68,33203,,,,,,441750,,243.5175392,,,
Timor,0,17244,,,,,Somalia,2326099.17,14317996,,,,,,438202,,467.9390142,,,
Togo,35401,121783,,,,,Serbia,2347401.5,6944975,,,,,,400136,,931.7959134,,,
Tokelau,43,0,,,,,South Sudan,2680681,11177490,,,,,,398845,,27885.80838,,,
Tonga,6624,666,,,,,São Tomé and Príncipe,25586.5,191266,,,,,,393893,,34788.35985,,,
Trinidad and Tobago,94066,73139,,,,,Suriname,78619.79915,526103,,,,,,375213,,204.876507,,,
Tunisia,234309,289538,,,,,Slovak Republic,2296164.75,5454073,,,,,,341628,,405.87,,,
Turkey,485937,1656110,,,,,Slovenia,1052324.75,2087946,,,,,,308337,,14738.44557,,,
Turks and Caicos Islands,49,0,,,,,Sweden,4618168.5,10285453,,,,,,299958,,21768.37884,,,
Tuvalu,457,0,,,,,Eswatini,218199.47,1343098,,,,,,287437,,6139.732825,,,
Ukraine,128765,393777,,,,,Sint Maarten (Dutch part),218199.47,37685,,,,,,285972,,3644.00573,,,
United Arab Emirates,3016,5135,,,,,Seychelles,48000,88303,,,,,,281191,,427.5063275,,,
United Kingdom,67549,29914,,,,,Syrian Arab Republic,4500000,20824892,,,,,,273905,,4012.054165,,,
United States,275424,267469,,,,,Turks and Caicos Islands,218199.47,34900,,,,,,219844,,2149.701063,,,
Uruguay,21562,92620,,,,,Chad,1358850.53,11887202,,,,,,198643,,1000.005467,,,
Vanuatu,22478,0,,,,,Togo,1109030.45,7228915,,,,,,183774,,900.78,,,
Venezuela,102333,671431,,,,,Thailand,26853366,68657600,,,,,,174140,,737.413721,,,
Vietnam,1833819,1112790,,,,,Tajikistan,1787400,8177809,,,,,,169031,,4518.108226,,,
Western Sahara,0,4114,,,,,Turkmenistan,500000,5366277,,,,,,164211,,418.6338871,,,
Yemen,169181,291737,,,,,Timor-Leste,63875,1268671,,,,,,119760,,14304.40499,,,
Zimbabwe,0,524865,,,,,Tonga,17238.20175,104951,,,,,,115231,,1123.87,,,
,,,,,,,Trinidad and Tobago,727874,1328100,,,,,,112614,,12199.20639,,,
,,,,,,,Tunisia,2700000,11143908,,,,,,111002,,1880.893165,,,
,,,,,,,Turkey,35374156,83429616,,,,,,106845,,1465.046057,,,
,,,,,,,Tuvalu,3989.4865,11097,,,,,,105901,,1727.137076,,,
,,,,,,,NA,7336000,23434000,,,,,,104398,,24443.31438,,,
,,,,,,,Tanzania,9276995,49082996,,,,,,98453,,16070.30205,,,
,,,,,,,Uganda,7045049.836,35093648,,,,,,98069,,17651.54558,,,
,,,,,,,Ukraine,15242025,45004644,,,,,,85112,,1852.467309,,,
,,,,,,,Uruguay,1260139.509,3431552,,,,,,77287,,1834.861816,,,
,,,,,,,United States,265224528,326687488,,,,,,72017,,251.3496809,,,
,,,,,,,Uzbekistan,4000000,29774500,,,,,,65854,,412.6530656,,,
,,,,,,,St. Vincent and the Grenadines,31561.34925,109455,,,,,,62237,,7169.369863,,,
,,,,,,,"Venezuela, RB",9779093.14,29893080,,,,,,59259,,366.1193542,,,
,,,,,,,British Virgin Islands,21099.19,20645,,,,,,57619,,702.433663,,,
,,,,,,,Virgin Islands (U.S.),146500,105784,,,,,,56787,,21829.29987,,,
,,,,,,,Vietnam,9570300,86932496,,,,,,55169,,1121.132186,,,
,,,,,,,Vanuatu,70225.489,270402,,,,,,53264,,151.0965629,,,
,,,,,,,Samoa,27399.09,187665,,,,,,48896,,1858.371394,,,
,,,,,,,Kosovo,319000,1801800,,,,,,42960,,1565.98,,,
,,,,,,,"Yemen, Rep.",4836820,27584212,,,,,,39290,,1100.98,,,
